S3,S2,S1,S0,P3,P2,P1,P0,D2,D1,D0,,SN3,SN2,SN1,SN0
0,0,0,0,0,0,0,0,X,X,X,,0,0,0,0
0,0,0,0,0,0,0,1,X,X,X,,0,0,0,1
0,0,0,0,0,0,1,0,X,X,X,,0,0,1,1
0,0,0,0,0,1,0,0,X,X,X,,0,1,0,1
0,0,0,0,1,0,0,0,X,X,X,,0,1,1,1
0,0,0,1,X,X,X,X,0,0,0,,0,0,0,1
0,0,0,1,X,X,X,X,0,0,1,,1,0,0,0
0,0,0,1,X,X,X,X,0,1,0,,1,0,0,1
0,0,0,1,X,X,X,X,1,0,0,,1,0,1,0
0,0,1,0,X,X,X,X,0,0,0,,0,0,1,0
0,0,1,0,X,X,X,X,0,0,1,,0,0,0,1
0,0,1,0,X,X,X,X,0,1,0,,1,0,0,0
0,0,1,0,X,X,X,X,1,0,0,,1,0,1,0
0,0,1,1,X,X,X,X,0,0,0,,0,0,1,1
0,0,1,1,X,X,X,X,0,0,1,,0,0,1,0
0,0,1,1,X,X,X,X,0,1,0,,0,0,0,1
0,0,1,1,X,X,X,X,1,0,0,,1,0,0,1
0,1,0,0,X,X,X,X,0,0,0,,0,1,0,0
0,1,0,0,X,X,X,X,0,0,1,,0,0,1,1
0,1,0,0,X,X,X,X,0,1,0,,0,0,1,0
0,1,0,0,X,X,X,X,1,0,0,,1,0,0,0
0,1,0,1,X,X,X,X,0,0,0,,0,1,0,1
0,1,0,1,X,X,X,X,0,0,1,,0,1,0,0
0,1,0,1,X,X,X,X,0,1,0,,0,0,1,1
0,1,0,1,X,X,X,X,1,0,0,,0,0,0,1
0,1,1,0,X,X,X,X,0,0,0,,0,1,1,0
0,1,1,0,X,X,X,X,0,0,1,,0,1,0,1
0,1,1,0,X,X,X,X,0,1,0,,0,1,0,0
0,1,1,0,X,X,X,X,1,0,0,,0,0,1,0
0,1,1,1,X,X,X,X,0,0,0,,0,1,1,1
0,1,1,1,X,X,X,X,0,0,1,,0,1,1,0
0,1,1,1,X,X,X,X,0,1,0,,0,1,0,1
0,1,1,1,X,X,X,X,1,0,0,,0,0,1,1
1,0,0,0,X,X,X,X,X,X,X,,0,0,0,0
1,0,0,1,X,X,X,X,X,X,X,,0,0,0,0
1,0,1,0,X,X,X,X,X,X,X,,0,0,0,0
1,0,1,1,X,X,X,X,X,X,X,,X,X,X,X
1,1,0,0,X,X,X,X,X,X,X,,X,X,X,X
1,1,0,1,X,X,X,X,X,X,X,,X,X,X,X
1,1,1,0,X,X,X,X,X,X,X,,X,X,X,X
1,1,1,1,X,X,X,X,X,X,X,,X,X,X,X
